Wed, 02 Nov 2016 16:12:38 db_connect.py[line:59] ERROR INSERT into coreDB values 5,2,1,0
Wed, 02 Nov 2016 16:12:38 db_connect.py[line:60] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '5,2,1,0' at line 1")
Wed, 02 Nov 2016 16:13:06 db_connect.py[line:59] ERROR INSERT into coreDB values 1,2,2,-4
Wed, 02 Nov 2016 16:13:06 db_connect.py[line:60] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '1,2,2,-4' at line 1")
Wed, 02 Nov 2016 16:15:13 db_connect.py[line:59] ERROR INSERT into coreDB values 2,1,2,2
Wed, 02 Nov 2016 16:15:13 db_connect.py[line:60] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2,1,2,2' at line 1")
Wed, 02 Nov 2016 16:16:24 db_connect.py[line:58] ERROR INSERT into coreDB values 6,2,1,0
Wed, 02 Nov 2016 16:16:24 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '6,2,1,0' at line 1")
Wed, 02 Nov 2016 16:22:44 db_connect.py[line:58] ERROR INSERT into coreDB(mechineCount,humanChoice,mechineChoice) values (4,2,1,-2)
Wed, 02 Nov 2016 16:22:44 db_connect.py[line:59] ERROR <class '_mysql_exceptions.OperationalError'>, (1136, "Column count doesn't match value count at row 1")
Wed, 02 Nov 2016 16:22:47 db_connect.py[line:58] ERROR INSERT into coreDB(mechineCount,humanChoice,mechineChoice) values (9,1,2,2)
Wed, 02 Nov 2016 16:22:47 db_connect.py[line:59] ERROR <class '_mysql_exceptions.OperationalError'>, (1136, "Column count doesn't match value count at row 1")
Wed, 02 Nov 2016 16:49:58 db_connect.py[line:47] ERROR SELECT mechineChoice,        averageEarnings from coreDB where mechineCount =%s and humanChoice =%s
Wed, 02 Nov 2016 16:49:58 db_connect.py[line:48] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '%s and humanChoice =%s' at line 1")
Wed, 02 Nov 2016 17:32:07 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=2.0,eventCount=1 from coreDB         where mechineScore =2 and humanChoice =1 and mechineChoice=2
Wed, 02 Nov 2016 17:32:07 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =2 and humanChoice =1 and mechineChoice=2' at line 1")
Wed, 02 Nov 2016 17:32:15 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=1.0,eventCount=1 from coreDB         where mechineScore =7 and humanChoice =1 and mechineChoice=1
Wed, 02 Nov 2016 17:32:15 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =7 and humanChoice =1 and mechineChoice=1' at line 1")
Wed, 02 Nov 2016 17:32:20 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=1.0,eventCount=1 from coreDB         where mechineScore =4 and humanChoice =1 and mechineChoice=1
Wed, 02 Nov 2016 17:32:20 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =4 and humanChoice =1 and mechineChoice=1' at line 1")
Wed, 02 Nov 2016 17:32:21 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=1.0,eventCount=1 from coreDB         where mechineScore =7 and humanChoice =1 and mechineChoice=1
Wed, 02 Nov 2016 17:32:21 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =7 and humanChoice =1 and mechineChoice=1' at line 1")
Wed, 02 Nov 2016 17:32:23 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=1.0,eventCount=1 from coreDB         where mechineScore =3 and humanChoice =1 and mechineChoice=1
Wed, 02 Nov 2016 17:32:23 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =3 and humanChoice =1 and mechineChoice=1' at line 1")
Wed, 02 Nov 2016 17:32:26 db_connect.py[line:58] ERROR UPDATE coreDB SET averageEarnings=-2.0,eventCount=1 from coreDB         where mechineScore =4 and humanChoice =2 and mechineChoice=1
Wed, 02 Nov 2016 17:32:26 db_connect.py[line:59] ERROR <class '_mysql_exceptions.ProgrammingError'>, (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'from coreDB         where mechineScore =4 and humanChoice =2 and mechineChoice=1' at line 1")
